,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
671,Stark County,2,168,196,11.2
672,Stephenson County,5,"1,316","1,468",11.5
673,Tazewell County,2,"2,623","3,047",8.2
674,Union County,6,522,480,17.2
675,Vermilion County,2,"2,193","2,485",16.8
676,Wabash County,11,346,360,13.5
677,Warren County,6,431,450,11.4
678,Washington County,4,319,354,8.1
679,Wayne County,9,480,482,13.1
680,White County,6,364,388,14.5
681,Whiteside County,5,"1,258","1,879",11.4
682,Will County,1,"11,622","14,911",6.5
683,Williamson County,2,"1,753","1,678",13.4
684,Winnebago County,2,"6,426","8,352",16.1
685,Woodford County,2,616,664,6.1
686,Adams County,5,453,776,12.6
687,Allen County,2,"4,740","7,277",10.5
688,Bartholomew County,2,975,"1,484",11.2
689,Benton County,2,138,168,8.7
690,Blackford County,6,303,396,12.8
691,Boone County,1,506,698,6.9
692,Brown County,1,226,317,10.5
693,Carroll County,2,292,459,8.7
694,Cass County,5,630,"1,017",12.6
695,Clark County,1,"1,862","2,316",9.7
696,Clay County,2,527,716,11.3
697,Clinton County,3,479,672,11.3
698,Crawford County,4,245,291,16.5
699,Daviess County,8,419,535,11.3
700,Dearborn County,1,800,962,9.3
701,Decatur County,3,300,421,9.6
702,DeKalb County,5,648,"1,071",9.5
703,Delaware County,2,"2,018","2,880",21.5
704,Dubois County,8,489,650,5.9
705,Elkhart County,2,"2,527","4,479",9.6
706,Fayette County,3,536,830,13.5
707,Floyd County,1,"1,289","1,534",10.6
708,Fountain County,6,269,393,12.5
709,Franklin County,4,393,507,9.2
710,Fulton County,9,433,605,9.6
711,Gibson County,6,552,683,9.3
712,Grant County,3,"1,367","2,085",16.0
713,Greene County,6,759,947,13.5
714,Hamilton County,1,"1,878","2,637",4.2
715,Hancock County,1,681,925,5.2
716,Harrison County,1,621,777,8.2
717,Hendricks County,1,"1,126","1,614",4.9
718,Henry County,3,900,"1,215",12.9
719,Howard County,2,"1,313","2,360",12.2
720,Huntington County,5,636,936,9.7
721,Jackson County,5,576,911,10.1
722,Jasper County,1,499,720,8.8
723,Jay County,6,367,624,12.5
724,Jefferson County,3,529,697,11.6
725,Jennings County,5,397,672,11.6
726,Johnson County,1,"1,340","1,813",6.0
727,Knox County,8,714,733,12.7
728,Kosciusko County,5,964,"1,623",9.0
729,LaGrange County,6,397,795,7.5
730,Lake County,1,"8,472","11,200",14.5
731,LaPorte County,2,"1,856","2,633",13.4
732,Lawrence County,5,923,"1,599",10.5
733,Madison County,1,"1,984","2,915",13.1
734,Marion County,1,"12,536","17,507",15.2
735,Marshall County,5,719,974,10.9
736,Martin County,9,171,241,10.9
737,Miami County,5,592,923,13.0
738,Monroe County,2,"1,703","2,441",20.8
739,Montgomery County,3,513,732,12.1
740,Morgan County,1,865,"1,202",8.9
741,Newton County,1,214,312,9.5
742,Noble County,5,699,"1,345",7.8
743,Ohio County,1,101,111,9.6
744,Orange County,4,419,659,14.1
745,Owen County,2,327,509,12.0
746,Parke County,4,281,371,15.1
747,Perry County,6,443,489,12.1
748,Pike County,5,221,246,9.4
749,Porter County,1,"2,204","3,023",8.1
750,Posey County,2,420,485,8.6
751,Pulaski County,4,295,321,11.2
752,Putnam County,1,491,653,10.5
753,Randolph County,6,510,733,13.3
754,Ripley County,4,352,488,9.1
755,Rush County,4,248,356,11.0
756,St. Joseph County,2,"4,287","6,098",15.3
757,Scott County,1,372,560,13.6
758,Shelby County,1,619,883,10.1
759,Spencer County,7,387,469,8.7
760,Starke County,4,518,634,13.3
761,Steuben County,8,555,929,8.6
762,Sullivan County,2,482,507,14.4
763,Switzerland County,4,242,196,14.5
764,Tippecanoe County,2,"2,033","2,755",16.1
765,Tipton County,4,231,420,7.8
766,Union County,1,117,169,9.6
767,Vanderburgh County,2,"2,872","3,521",14.4
768,Vermillion County,2,377,430,12.2
769,Vigo County,2,"2,047","2,573",20.8
770,Wabash County,5,541,930,10.9
771,Warren County,7,120,150,9.4
772,Warrick County,2,935,"1,007",6.3
773,Washington County,1,528,771,12.1
774,Wayne County,8,"1,288","1,798",15.2
775,Wells County,2,362,580,7.4
776,White County,6,403,645,10.3
777,Whitley County,2,435,782,7.7
778,Adair County,7,121,125,10.7
779,Adams County,12,90,97,12.5
780,Allamakee County,6,274,338,13.0
781,Appanoose County,9,282,335,19.3
782,Audubon County,7,102,114,10.9
783,Benton County,2,319,432,7.8
784,Black Hawk County,2,"1,936","2,374",13.7
785,Boone County,5,320,413,8.7
786,Bremer County,2,320,404,6.7
787,Buchanan County,6,305,422,9.5
788,Buena Vista County,8,245,282,10.2
789,Butler County,7,261,360,10.5
790,Calhoun County,10,151,175,11.5
791,Carroll County,11,273,313,8.2
792,Cass County,6,288,312,14.3
793,Cedar County,6,239,302,7.8
794,Cerro Gordo County,8,746,861,8.5
795,Cherokee County,6,166,213,10.2
796,Chickasaw County,6,445,418,8.5
797,Clarke County,6,156,202,11.7
798,Clay County,8,249,306,10.3
799,Clayton County,7,354,482,11.0
800,Clinton County,5,909,"1,174",13.1
801,Crawford County,11,225,278,12.5
802,Dallas County,2,458,577,4.3
803,Davis County,8,138,176,11.5
804,Decatur County,12,145,151,18.3
805,Delaware County,6,292,383,8.6
806,Des Moines County,8,792,"1,106",14.9
807,Dickinson County,8,263,312,7.0
808,Dubuque County,2,"1,595","1,982",10.7
809,Emmet County,9,175,220,11.4
810,Fayette County,6,430,547,13.2
811,Floyd County,9,320,367,11.7
812,Franklin County,9,158,200,11.2
813,Fremont County,6,102,124,11.6
814,Greene County,6,166,190,11.2
815,Grundy County,2,152,177,5.5
816,Guthrie County,2,162,182,8.8
817,Hamilton County,6,226,274,9.1
818,Hancock County,9,140,164,9.0
819,Hardin County,6,296,347,10.6
820,Harrison County,2,219,292,8.7
821,Henry County,6,317,414,11.7
822,Howard County,6,164,175,9.6
823,Humboldt County,9,138,177,10.8
824,Ida County,7,88,110,10.5
825,Iowa County,6,188,214,6.7
826,Jackson County,6,408,535,12.3
827,Jasper County,5,498,630,8.4
828,Jefferson County,8,263,442,14.2
829,Johnson County,2,"1,261","1,498",16.0
830,Jones County,2,278,394,9.5
831,Keokuk County,7,189,243,11.4
832,Kossuth County,11,229,264,10.3
833,Lee County,8,848,"1,186",15.0
834,Linn County,2,"2,569","3,528",11.1
835,Louisa County,7,187,218,9.2
836,Lucas County,6,134,168,14.9
837,Lyon County,6,129,156,7.4
838,Madison County,2,239,261,6.9
839,Mahaska County,8,277,409,10.8
840,Marion County,6,399,588,8.2
841,Marshall County,5,569,667,13.0
842,Mills County,2,160,225,8.8
843,Mitchell County,9,152,166,9.3
844,Monona County,6,158,186,12.3
845,Monroe County,9,122,167,10.7
846,Montgomery County,6,198,284,13.2
847,Muscatine County,5,613,800,10.1
848,O'Brien County,9,180,206,10.1
849,Osceola County,9,90,115,9.3
850,Page County,6,271,388,14.9
851,Palo Alto County,9,122,198,11.1
852,Plymouth County,2,348,400,7.2
853,Pocahontas County,10,116,152,10.1
854,Polk County,2,"5,091","6,328",10.1
855,Pottawattamie County,2,"1,149","1,487",11.0
856,Poweshiek County,9,284,344,11.6
857,Ringgold County,12,78,84,15.1
858,Sac County,10,158,180,9.5
859,Scott County,2,"2,817","3,408",11.8
860,Shelby County,6,169,196,8.7
861,Sioux County,11,346,429,7.0
862,Story County,2,829,973,15.8
863,Tama County,6,317,335,13.1
864,Taylor County,10,114,141,12.5
865,Union County,6,223,248,12.1
866,Van Buren County,10,129,173,12.8
867,Wapello County,8,645,837,14.2
868,Warren County,2,510,615,7.3
869,Washington County,2,252,324,9.1
870,Wayne County,12,99,117,19.1
871,Webster County,8,612,730,12.1
872,Winnebago County,9,133,175,10.2
873,Winneshiek County,11,312,365,8.6
874,Woodbury County,2,"1,459","1,757",12.8
875,Worth County,8,130,145,9.8
876,Wright County,9,201,253,11.0
877,Allen County,11,336,444,17.3
878,Anderson County,4,174,215,12.7
879,Atchison County,3,379,416,13.8
880,Barber County,12,74,86,13.6
881,Barton County,8,493,459,13.4
882,Bourbon County,4,320,341,15.6
883,Brown County,6,274,284,15.4
884,Butler County,2,"1,251","1,219",8.5
885,Chase County,10,47,58,11.4
886,Chautauqua County,7,85,95,16.4
887,Cherokee County,6,531,608,15.4
888,Cheyenne County,12,43,46,11.6
889,Clark County,10,35,31,12.4
890,Clay County,6,154,185,10.0
891,Cloud County,9,199,192,13.5
892,Coffey County,6,181,239,11.2
893,Comanche County,12,24,27,11.6
894,Cowley County,5,816,760,13.5
895,Crawford County,5,855,961,18.5
896,Decatur County,12,45,51,13.2
897,Dickinson County,9,338,395,9.8
898,Doniphan County,2,205,329,11.4
899,Douglas County,2,"1,648","1,921",15.1
900,Edwards County,10,46,48,11.7
901,Elk County,7,73,78,19.4
902,Ellis County,8,413,450,13.1
903,Ellsworth County,9,110,108,9.6
904,Finney County,8,537,"1,333",13.0
905,Ford County,8,428,490,13.8
906,Franklin County,3,501,641,10.4
907,Geary County,5,555,616,11.7
908,Gove County,12,36,40,9.6
909,Graham County,12,42,45,11.8
910,Grant County,9,110,106,10.5
911,Gray County,10,80,79,7.6
912,Greeley County,12,26,27,10.9
913,Greenwood County,6,182,183,14.9
914,Hamilton County,10,36,37,13.1
915,Harper County,7,120,114,14.2
916,Harvey County,2,636,609,9.3
917,Haskell County,10,49,58,9.7
918,Hodgeman County,10,35,31,10.4
919,Jackson County,2,286,296,10.9
920,Jefferson County,2,387,405,7.8
921,Jewell County,12,51,53,13.0
922,Johnson County,1,"7,830","10,049",5.3
923,Kearny County,8,57,63,10.4
924,Kingman County,2,157,152,11.3
925,Kiowa County,10,46,48,12.1
926,Labette County,8,568,595,15.8
927,Lane County,12,32,40,10.3
928,Leavenworth County,1,"1,294","1,612",8.3
929,Lincoln County,10,55,65,12.1
930,Linn County,1,235,288,12.0
931,Logan County,12,57,48,10.0
932,Lyon County,5,597,767,15.1
933,McPherson County,8,464,547,7.2
934,Marion County,6,208,231,10.7
935,Marshall County,6,204,211,9.4
936,Meade County,10,60,62,9.7
937,Miami County,1,519,644,6.8
938,Mitchell County,11,98,119,11.1
939,Montgomery County,8,907,"1,063",15.7
940,Morris County,6,113,123,10.5
941,Morton County,12,50,47,11.7
942,Nemaha County,6,155,178,8.8
943,Neosho County,9,381,450,15.7
944,Ness County,12,45,49,10.6
945,Norton County,11,84,92,11.6
946,Osage County,2,405,419,14.2
947,Osborne County,12,63,81,13.5
948,Ottawa County,8,104,123,9.9
949,Pawnee County,9,101,105,14.0
950,Phillips County,11,89,91,11.0
951,Pottawatomie County,2,310,366,7.2
952,Pratt County,11,140,144,11.2
953,Rawlins County,12,44,46,14.2
954,Reno County,5,"1,243","1,447",13.4
955,Republic County,12,89,99,12.2
956,Rice County,9,197,194,11.8
957,Riley County,2,914,991,20.9
958,Rooks County,10,92,94,10.5
959,Rush County,10,61,60,12.2
960,Russell County,9,146,166,14.4
961,Saline County,8,922,"1,108",12.3
962,Scott County,9,67,72,7.9
963,Sedgwick County,2,"9,962","9,838",12.6
964,Seward County,8,314,379,14.2
965,Shawnee County,2,"3,683","3,841",9.8
966,Sheridan County,12,33,37,11.8
967,Sherman County,11,103,116,12.5
968,Smith County,12,62,72,11.6
969,Stafford County,10,74,74,13.7
970,Stanton County,12,31,31,10.6
971,Stevens County,9,72,82,9.7
972,Sumner County,2,605,529,11.4
973,Thomas County,11,106,122,9.1
974,Trego County,10,43,49,10.8
975,Wabaunsee County,2,126,133,6.9
976,Wallace County,12,21,26,12.1
977,Washington County,12,120,123,9.5
978,Wichita County,12,37,39,11.0
979,Wilson County,10,201,281,13.3
980,Woodson County,12,85,107,14.3
981,Wyandotte County,1,"4,647","5,515",20.6
982,Adair County,9,409,417,21.4
983,Allen County,2,368,526,16.8
984,Anderson County,3,346,518,10.2
985,Ballard County,8,249,278,15.5
986,Barren County,5,885,969,20.1
987,Bath County,5,302,374,19.4
988,Bell County,8,644,816,30.3
989,Boone County,1,"1,441","1,959",7.1
990,Bourbon County,2,327,457,14.1
991,Boyd County,2,"1,232","1,392",20.6
992,Boyle County,8,533,739,15.5
993,Bracken County,1,146,200,14.1
994,Breathitt County,12,359,412,29.2
995,Breckinridge County,7,410,552,18.3
996,Bullitt County,1,"1,079","1,405",7.8
997,Butler County,2,266,369,18.0
998,Caldwell County,9,273,322,15.8
999,Calloway County,8,675,903,16.5
1000,Campbell County,1,"1,516","2,020",10.9
1001,Carlisle County,10,146,157,15.5
1002,Carroll County,4,213,301,15.2
1003,Carter County,6,839,"1,286",20.0
1004,Casey County,10,312,490,25.2
1005,Christian County,2,"1,257","1,775",18.9
1006,Clark County,2,625,901,13.0
1007,Clay County,10,473,546,32.6
1008,Clinton County,12,225,289,23.4
1009,Crittenden County,9,277,334,19.2
1010,Cumberland County,10,180,186,23.0
1011,Daviess County,2,"1,952","2,339",15.4
1012,Edmonson County,2,247,305,16.0
1013,Elliott County,12,217,224,27.7
1014,Estill County,6,286,380,22.7
1015,Fayette County,2,"4,343","5,506",15.4
1016,Fleming County,9,301,334,21.1
1017,Floyd County,11,947,929,27.4
1018,Franklin County,3,849,936,11.5
1019,Fulton County,8,165,205,25.6
1020,Gallatin County,1,153,181,13.3
1021,Garrard County,6,262,360,15.7
1022,Grant County,1,441,594,13.3
1023,Graves County,8,844,"1,125",17.9
1024,Grayson County,6,574,865,20.3
1025,Green County,7,243,300,18.6
1026,Greenup County,2,914,996,15.9
1027,Hancock County,2,205,244,12.2
1028,Hardin County,2,"1,840","2,205",10.7
1029,Harlan County,10,823,772,31.1
1030,Harrison County,4,322,478,15.3
1031,Hart County,7,357,420,20.1
1032,Henderson County,2,796,"1,087",16.3
1033,Henry County,1,245,334,14.7
1034,Hickman County,10,110,141,16.9
1035,Hopkins County,8,"1,134","1,220",18.1
1036,Jackson County,10,283,399,27.8
1037,Jefferson County,1,"13,226","16,671",14.2
1038,Jessamine County,2,605,788,11.0
1039,Johnson County,11,518,564,25.8
1040,Kenton County,1,"2,653","3,504",11.2
1041,Knott County,12,415,385,30.5
1042,Knox County,8,632,719,31.5
1043,Larue County,2,281,313,15.4
1044,Laurel County,8,"1,001","1,252",21.4
1045,Lawrence County,7,377,457,23.4
1046,Lee County,12,145,180,34.9
1047,Leslie County,10,228,237,32.3
1048,Letcher County,10,682,554,28.9
1049,Lewis County,7,476,446,23.2
1050,Lincoln County,8,438,677,19.7
1051,Livingston County,8,275,318,12.2
1052,Logan County,6,482,879,15.3
1053,Lyon County,9,176,201,14.5
1054,McCracken County,8,"1,450","1,633",15.5
1055,McCreary County,10,400,607,34.5
1056,McLean County,2,238,273,14.0
1057,Madison County,5,"1,317","1,776",17.7
1058,Magoffin County,12,464,448,29.4
1059,Marion County,9,428,506,16.8
1060,Marshall County,9,747,955,11.8
1061,Martin County,12,248,246,34.4
1062,Mason County,3,308,395,15.7
1063,Meade County,2,470,600,11.4
1064,Menifee County,8,161,207,26.1
1065,Mercer County,6,402,547,13.8
1066,Metcalfe County,8,206,238,22.6
1067,Monroe County,7,434,462,21.7
1068,Montgomery County,5,484,711,15.8
1069,Morgan County,11,311,433,26.5
1070,Muhlenberg County,6,759,"1,076",18.8
1071,Nelson County,3,813,"1,011",10.5
1072,Nicholas County,7,227,197,17.3
1073,Ohio County,6,537,647,15.6
1074,Oldham County,1,715,838,4.9
1075,Owen County,4,180,216,15.7
1076,Owsley County,12,86,108,35.5
1077,Pendleton County,1,246,328,12.4
1078,Perry County,11,661,690,24.2
1079,Pike County,11,"1,508","1,425",24.0
1080,Powell County,6,282,416,21.5
1081,Pulaski County,8,"1,110","1,767",22.5
1082,Robertson County,4,47,53,22.0
1083,Rockcastle County,8,334,458,21.0
1084,Rowan County,9,463,660,23.3
1085,Russell County,10,420,485,22.6
1086,Scott County,2,570,734,8.6
1087,Shelby County,1,548,787,9.4
1088,Simpson County,4,288,466,12.5
1089,Spencer County,1,195,281,7.3
1090,Taylor County,8,573,599,16.4
1091,Todd County,7,234,384,17.1
1092,Trigg County,2,264,341,14.6
1093,Trimble County,1,152,224,11.9
1094,Union County,6,347,411,17.3
1095,Warren County,2,"1,847","2,381",15.4
1096,Washington County,9,213,319,14.4
1097,Wayne County,9,443,616,23.8
1098,Webster County,6,308,310,16.3
1099,Whitley County,8,692,874,22.6
1100,Wolfe County,12,211,217,30.1
1101,Woodford County,2,366,521,8.3
1102,Acadia Parish,2,"1,346","1,387",20.3
1103,Allen Parish,6,569,630,21.6
1104,Ascension Parish,2,"1,967","2,107",9.6
1105,Assumption Parish,4,622,614,18.8
1106,Avoyelles Parish,6,972,"1,129",24.4
1107,Beauregard Parish,5,721,863,14.3
1108,Bienville Parish,6,387,481,24.4
1109,Bossier Parish,2,"2,182","2,436",16.4
1110,Caddo Parish,2,"5,743","6,689",24.1
1111,Calcasieu Parish,2,"4,250","4,775",18.9
1112,Caldwell Parish,7,287,330,19.5
1113,Cameron Parish,2,220,228,13.7
1114,Catahoula Parish,10,377,374,26.4
1115,Claiborne Parish,6,403,455,32.5
1116,Concordia Parish,8,636,714,27.5
1117,De Soto Parish,2,647,728,18.0
1118,East Baton Rouge Parish,2,"9,265","10,413",17.7
1119,East Carroll Parish,11,291,364,38.4
1120,East Feliciana Parish,2,460,508,18.7
1121,Evangeline Parish,6,700,788,28.6
1122,Franklin Parish,11,583,692,25.8
1123,Grant Parish,2,482,523,18.6
1124,Iberia Parish,2,"1,713","1,712",21.9
1125,Iberville Parish,2,863,904,18.7
1126,Jackson Parish,6,370,436,19.2
1127,Jefferson Parish,1,"10,326","10,680",14.6
1128,Jefferson Davis Parish,6,727,746,19.1
1129,Lafayette Parish,2,"3,861","4,098",16.6
1130,Lafourche Parish,2,"1,786","1,861",17.5
1131,LaSalle Parish,6,332,379,16.9
1132,Lincoln Parish,5,998,"1,127",29.5
1133,Livingston Parish,2,"2,448","2,489",12.0
1134,Madison Parish,9,388,479,41.1
1135,Morehouse Parish,5,924,"1,046",31.0
1136,Natchitoches Parish,5,946,"1,106",19.6
1137,Orleans Parish,1,"11,142","11,736",23.5
1138,Ouachita Parish,2,"3,209","3,763",23.9
1139,Plaquemines Parish,1,621,602,15.1
1140,Pointe Coupee Parish,2,595,641,20.0
1141,Rapides Parish,2,"2,923","3,252",18.3
1142,Red River Parish,7,239,282,23.9
1143,Richland Parish,6,579,635,25.1
1144,Sabine Parish,6,471,577,18.4
1145,St. Bernard Parish,1,"1,703","1,769",19.2
1146,St. Charles Parish,1,"1,292","1,259",11.1
1147,St. Helena Parish,2,227,248,19.6
1148,St. James Parish,1,736,791,16.6
1149,St. John the Baptist Parish,1,"1,317","1,340",16.0
1150,St. Landry Parish,5,"2,062","2,217",22.6
1151,St. Martin Parish,2,"1,148","1,388",18.7
1152,St. Mary Parish,5,"1,609","1,560",23.8
1153,St. Tammany Parish,1,"4,045","4,438",11.5
1154,Tangipahoa Parish,2,"2,828","3,078",21.7
1155,Tensas Parish,10,183,192,28.9
1156,Terrebonne Parish,2,"2,063","2,161",19.0
1157,Union Parish,2,562,610,19.4
1158,Vermilion Parish,2,"1,200","1,292",17.0
1159,Vernon Parish,8,"1,090","1,188",15.3
1160,Washington Parish,3,"1,011","1,199",24.9
1161,Webster Parish,2,"1,094","1,291",29.6
1162,West Baton Rouge Parish,2,521,553,14.4
1163,West Carroll Parish,10,451,524,21.0
1164,West Feliciana Parish,2,314,345,22.1
1165,Winn Parish,6,384,446,23.4
1166,Androscoggin County,2,"1,877","2,149",10.4
1167,Aroostook County,11,"1,455","1,518",15.5
1168,Cumberland County,2,"3,676","4,139",7.8
1169,Franklin County,6,721,738,12.6
1170,Hancock County,6,"1,153","1,165",10.6
1171,Kennebec County,5,"2,128","2,278",11.5
1172,Knox County,11,576,635,10.9
1173,Lincoln County,7,534,581,11.0
1174,Oxford County,6,"1,125","1,266",13.0
1175,Penobscot County,2,"2,756","3,062",12.4
1176,Piscataquis County,6,413,439,16.5
1177,Sagadahoc County,2,500,568,8.6
1178,Somerset County,6,"1,193","1,457",18.3
1179,Waldo County,6,743,815,13.7
1180,Washington County,11,932,"1,018",19.6
1181,York County,2,"2,716","3,499",7.9
1182,Allegany County,2,"1,929","2,171",16.0
1183,Anne Arundel County,1,"8,013","9,705",5.8
1184,Baltimore County,1,"15,005","17,759",8.9
1185,Calvert County,1,"1,203","1,365",5.7
1186,Caroline County,4,548,744,12.1
1187,Carroll County,1,"2,470","2,850",5.1
1188,Cecil County,1,"1,598","1,881",10.3
1189,Charles County,1,"1,905","2,185",6.4
1190,Dorchester County,5,789,"1,049",16.4
1191,Frederick County,1,"2,941","3,675",5.7
1192,Garrett County,7,746,827,12.8
1193,Harford County,1,"3,859","4,681",6.7
1194,Howard County,1,"3,604","4,663",5.0
1195,Kent County,4,385,441,12.4
1196,Montgomery County,1,"12,691","15,730",7.3
1197,Prince George's County,1,"15,675","18,882",8.7
1198,Queen Anne's County,1,688,819,6.0
1199,St. Mary's County,2,"1,425","1,587",7.7
1200,Somerset County,2,645,754,23.6
1201,Talbot County,3,579,665,8.7
1202,Washington County,2,"2,394","3,079",12.3
1203,Wicomico County,2,"1,905","2,338",16.0
1204,Worcester County,2,"1,576","1,829",9.9
1205,Baltimore city,1,"16,388","19,161",20.4
1206,Barnstable County,2,"4,001","4,550",6.5
1207,Berkshire County,2,"2,112","2,545",11.2
1208,Bristol County,1,"10,661","13,492",11.3
1209,Dukes County,8,286,302,7.3
1210,Essex County,1,"10,623","15,603",8.8
1211,Franklin County,5,993,"1,230",9.3
1212,Hampden County,2,"7,469","9,499",13.8
1213,Hampshire County,2,"1,939","2,383",11.1
1214,Middlesex County,1,"18,559","27,823",6.9
1215,Norfolk County,1,"8,533","11,558",5.8
1216,Plymouth County,1,"6,996","9,037",7.4
1217,Suffolk County,1,"10,959","14,937",16.7
1218,Worcester County,2,"10,978","15,452",9.4
1219,Alcona County,10,315,450,18.0
1220,Alger County,10,243,284,12.6
1221,Allegan County,5,"1,713","2,555",10.8
1222,Alpena County,8,890,"1,258",13.9
1223,Antrim County,10,553,769,9.6
1224,Arenac County,7,458,613,17.2
1225,Baraga County,10,278,370,13.7
1226,Barry County,2,"1,047","1,403",7.8
1227,Bay County,2,"2,388","3,101",13.4
1228,Benzie County,8,391,515,9.6
1229,Berrien County,2,"3,228","4,599",15.9
1230,Branch County,5,925,"1,294",13.2
1231,Calhoun County,2,"3,025","3,847",13.9
1232,Cass County,2,888,"1,290",14.8
1233,Charlevoix County,11,641,851,9.7
1234,Cheboygan County,11,"1,089","1,278",14.9
1235,Chippewa County,8,"1,150","1,347",18.3
1236,Clare County,6,731,954,19.6
1237,Clinton County,2,959,"1,230",7.8
1238,Crawford County,12,320,387,14.0
1239,Delta County,8,"1,087","1,331",13.8
1240,Dickinson County,8,601,728,9.9
1241,Eaton County,2,"1,682","2,174",7.5
1242,Emmet County,11,"1,024","1,161",9.2
1243,Genesee County,2,"9,888","13,460",16.6
1244,Gladwin County,6,601,792,13.5
1245,Gogebic County,11,504,589,17.1
1246,Grand Traverse County,8,"1,613","2,233",7.2
1247,Gratiot County,5,920,"1,113",14.3
1248,Hillsdale County,5,924,"1,479",15.3
1249,Houghton County,8,868,"1,063",14.7
1250,Huron County,11,833,"1,307",13.7
1251,Ingham County,2,"4,708","6,230",17.3
1252,Ionia County,5,"1,138","1,572",11.5
1253,Iosco County,11,779,"1,062",14.2
1254,Iron County,9,342,384,13.7
1255,Isabella County,5,"1,194","1,416",22.9
1256,Jackson County,2,"2,799","4,330",13.7
1257,Kalamazoo County,2,"4,102","5,643",13.3
1258,Kalkaska County,8,413,646,13.9
1259,Kent County,2,"10,228","15,475",11.2
1260,Keweenaw County,8,68,87,10.3
1261,Lake County,10,263,351,20.2
1262,Lapeer County,1,"1,826","2,814",10.1
1263,Leelanau County,8,359,428,7.1
1264,Lenawee County,5,"2,006","2,870",11.8
1265,Livingston County,1,"2,174","3,168",4.4
1266,Luce County,10,172,196,19.2
1267,Mackinac County,10,536,622,14.1
1268,Macomb County,1,"14,456","21,449",8.6
1269,Manistee County,9,655,799,12.3
1270,Marquette County,8,"1,541","1,953",11.8
1271,Mason County,8,739,"1,473",13.9
1272,Mecosta County,5,835,"1,079",19.9
1273,Menominee County,8,572,761,13.5
1274,Midland County,2,"1,435","1,877",9.7
1275,Missaukee County,8,323,478,10.9
1276,Monroe County,2,"2,537","3,569",10.2
1277,Montcalm County,2,"1,261","1,920",12.4
1278,Montmorency County,10,342,436,14.4
1279,Muskegon County,2,"3,634","5,350",13.5
1280,Newaygo County,6,"1,094","1,497",15.7
1281,Oakland County,1,"17,847","27,291",7.8
1282,Oceana County,7,804,994,14.8
1283,Ogemaw County,11,539,740,18.2
1284,Ontonagon County,10,241,276,13.3
1285,Osceola County,10,525,777,14.6
1286,Oscoda County,12,247,351,15.4
1287,Otsego County,11,530,754,10.0
1288,Ottawa County,2,"3,744","5,755",7.8
1289,Presque Isle County,9,558,644,10.8
1290,Roscommon County,11,591,712,15.3
1291,Saginaw County,2,"4,243","5,939",18.6
1292,St. Clair County,1,"3,379","5,214",10.4
1293,St. Joseph County,5,"1,138","2,017",12.9
1294,Sanilac County,4,"1,048","1,531",13.6
1295,Schoolcraft County,9,329,363,14.3
1296,Shiawassee County,3,"1,500","2,079",10.9
1297,Tuscola County,4,"1,359","1,977",11.6
1298,Van Buren County,2,"1,648","2,203",13.0
1299,Washtenaw County,2,"4,474","5,827",13.0
1300,Wayne County,1,"37,903","54,220",19.8
1301,Wexford County,8,866,"1,302",12.4
1302,Aitkin County,4,425,464,12.5
1303,Anoka County,1,"4,690","6,417",6.2
1304,Becker County,6,749,851,10.2
1305,Beltrami County,8,915,955,16.3
1306,Benton County,2,690,916,8.6
1307,Big Stone County,12,115,122,11.0
1308,Blue Earth County,2,915,"1,024",15.2
1309,Brown County,5,560,629,7.4
1310,Carlton County,2,751,909,9.1
1311,Carver County,1,958,"1,369",4.3
1312,Cass County,8,707,782,11.4
1313,Chippewa County,9,344,361,10.4
1314,Chisago County,1,820,"1,081",6.2
1315,Clay County,2,871,937,11.9
1316,Clearwater County,7,381,425,11.5
1317,Cook County,12,123,149,8.9
1318,Cottonwood County,9,290,243,10.8
1319,Crow Wing County,3,"1,144","1,318",10.5
1320,Dakota County,1,"5,089","6,763",6.3
1321,Dodge County,2,297,357,5.6
1322,Douglas County,5,585,675,6.3
1323,Faribault County,6,312,363,12.2
1324,Fillmore County,2,359,431,9.4
1325,Freeborn County,8,592,797,9.6
1326,Goodhue County,3,748,870,7.1
1327,Grant County,10,158,180,8.8
1328,Hennepin County,1,"17,284","23,097",9.7
1329,Houston County,2,429,484,7.8
1330,Hubbard County,9,437,473,11.2
1331,Isanti County,1,590,783,6.9
1332,Itasca County,6,"1,208","1,381",11.2
1333,Jackson County,9,185,210,9.8
1334,Kanabec County,4,367,509,10.1
1335,Kandiyohi County,5,719,821,9.8
1336,Kittson County,12,139,137,9.2
1337,Koochiching County,6,366,408,13.0
1338,Lac qui Parle County,12,138,170,9.5
1339,Lake County,6,241,324,9.0
1340,Lake of the Woods County,12,92,105,9.2
1341,Le Sueur County,1,555,745,7.1
1342,Lincoln County,10,122,124,10.1
1343,Lyon County,8,413,546,10.6
1344,McLeod County,3,644,736,6.3
1345,Mahnomen County,7,138,149,21.3
1346,Marshall County,7,398,363,7.5
1347,Martin County,11,398,467,10.5
1348,Meeker County,4,513,605,7.9
1349,Mille Lacs County,1,515,642,11.4
1350,Morrison County,4,752,917,8.9
1351,Mower County,5,561,694,11.5
1352,Murray County,10,191,210,8.5
1353,Nicollet County,2,479,555,9.9
1354,Nobles County,8,326,383,11.0
1355,Norman County,7,162,161,10.4
1356,Olmsted County,2,"1,877","2,099",6.7
